movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0028,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417.0,PG,French,USA,,,,,,False,2024-01-07,False
movie_0030,Dragon King,Movie,Documentary,,2017,151.0,G,English,India,7.5,,9373734.0,,,False,2024-06-10,True
movie_0042,First Hero,Movie,Action,,2020,452.0,TV-G,Hindi,India,6.7,2146992.0,55547817.0,,,True,2024-06-01,False
movie_0044,Dragon City,Stand-up Comedy,War,Documentary,1998,379.0,TV-G,English,USA,5.2,,,,,False,2023-01-31,False
movie_0059,Night Secret,TV Series,Romance,Sci-Fi,1992,580.0,TV-14,French,USA,6.3,,,4.0,42.0,True,2020-08-24,False
movie_0063,Hero Kingdom,Movie,Adventure,,1997,165.0,G,Hindi,UK,6.9,1360448.0,656952.0,,,False,2021-04-22,False
movie_0074,Dark Ice,Movie,Comedy,,2005,150.0,PG,English,Canada,,1915176.0,3628760.0,,,True,2021-11-07,False
movie_0079,Mission Dream,Movie,War,,2005,414.0,TV-G,Hindi,USA,5.9,4204348.0,24367896.0,,,False,2021-02-07,False
movie_0082,Bright Phoenix,Movie,Western,,1995,408.0,TV-MA,German,South Korea,4.6,8461755.0,173407724.0,,,True,2021-04-14,False
movie_0120,Last Mission,Movie,Mystery,Comedy,2022,152.0,TV-Y,English,USA,5.2,,22144747.0,,,False,2024-04-21,False
movie_0136,First House,Documentary,Adventure,,2001,404.0,NC-17,English,Canada,1.0,,,,,False,2023-05-25,False
movie_0149,The Fire,Documentary,Action,,2000,364.0,TV-PG,Spanish,USA,3.0,,,,,False,2023-09-12,False
movie_0150,Story Fire,Movie,Adventure,Sport,2013,157.0,TV-14,English,Japan,8.1,28183154.0,26250908.0,,,False,2022-12-26,True
movie_0170,Phoenix Love,Movie,Horror,,1997,537.0,R,English,South Korea,6.1,431570.0,6675003.0,,,False,2024-03-10,True
movie_0194,The Phoenix,Movie,Western,,2016,153.0,PG,German,USA,5.9,7058434.0,11893984.0,,,False,2022-12-03,False
movie_0222,Battle Phoenix,TV Series,Western,Drama,1994,329.0,TV-MA,Japanese,USA,,,,11.0,153.0,False,2020-10-30,False
movie_0230,Kingdom King,Movie,Biography,,2005,491.0,TV-14,Spanish,USA,7.2,7047373.0,7555541.0,,,False,2021-06-04,False
movie_0240,Last House,Movie,Drama,,2022,152.0,NC-17,French,USA,,,38401267.0,,,False,2024-12-02,False
movie_0244,Little City,Movie,History,,2005,563.0,TV-G,English,USA,5.0,2185872.0,141933150.0,,,False,2020-12-25,False
movie_0258,Adventure Love,Movie,Music,,2009,161.0,TV-PG,English,USA,8.8,1206373.0,,,,False,2021-10-29,False
movie_0270,Secret Ice,Movie,Romance,,2020,152.0,TV-G,English,UK,0.9,389524.0,492518.0,,,False,2022-11-01,True
movie_0300,House War,Movie,Sci-Fi,,2024,155.0,NC-17,English,USA,6.9,,,,,False,2021-02-25,False
movie_0309,War Legend,Movie,Sci-Fi,,2006,151.0,TV-PG,English,USA,7.3,809242.0,69363028.0,,,False,2023-11-03,True
movie_0321,First Family,Stand-up Comedy,Comedy,,2014,534.0,TV-MA,English,Germany,,,,,,False,2024-03-24,True
movie_0336,Queen Warrior,Movie,Comedy,,2006,183.0,G,English,UK,7.8,1807604.0,71561859.0,,,True,2021-02-09,False
movie_0353,Quest Hero,Limited Series,Action,Adventure,2009,437.0,NC-17,Italian,USA,5.5,,,7.0,19.0,False,2020-08-21,False
