movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35.0,TV-Y,French,Japan,,,,,,False,2023-08-07,False
movie_0005,Warrior Mission,Documentary,Sport,Mystery,2015,91.0,TV-G,English,USA,3.1,,,,,False,2023-06-15,False
movie_0007,Battle Story,TV Series,Sci-Fi,,2003,52.0,TV-Y7,English,USA,,,,,158.0,False,2021-11-30,False
movie_0008,Old House,Movie,Horror,,1991,109.0,TV-Y,Spanish,South Korea,7.7,629216.0,3995303.0,,,False,2020-10-04,False
movie_0009,Dragon Empire,Movie,Biography,,2013,123.0,PG,Spanish,USA,8.4,,,,,False,2024-05-09,False
movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49.0,TV-Y,Italian,Japan,8.2,,,12.0,32.0,False,2021-09-20,False
movie_0012,Bright War,Movie,Crime,Sci-Fi,1997,95.0,G,English,South Korea,9.9,,72997481.0,,,False,2025-05-22,False
movie_0015,Hero Empire,Movie,Sci-Fi,Mystery,2012,108.0,TV-G,English,UK,,2006408.0,,,,False,2022-09-18,False
movie_0018,Princess Phoenix,Movie,Adventure,,2011,116.0,PG,English,France,7.6,10555440.0,7278095.0,,,True,2021-04-04,False
movie_0024,Fire Mystery,Movie,Biography,,1990,114.0,TV-Y7,English,South Korea,4.4,895311.0,52104449.0,,,False,2023-04-04,False
movie_0025,Quest Queen,Movie,Family,,2013,127.0,PG,English,UK,9.2,,1286089.0,,,False,2024-12-21,False
movie_0026,Last Love,TV Series,Comedy,,2000,78.0,PG,English,India,8.6,,,10.0,121.0,False,2025-02-23,False
movie_0028,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417.0,PG,French,USA,,,,,,False,2024-01-07,False
movie_0029,Dark Princess,Movie,Horror,Sport,1998,117.0,PG,English,Japan,5.4,,6128075.0,,,False,2022-04-16,False
