movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35.0,TV-Y,French,Japan,,,,,,False,2023-08-07,False
movie_0002,Storm Warrior,Stand-up Comedy,Sci-Fi,,2017,37.0,PG,Japanese,USA,3.3,,,,,False,2022-01-28,True
movie_0004,Our Princess,Documentary,Sci-Fi,,2011,131.0,NC-17,Japanese,USA,5.3,,,,,False,2022-11-26,False
movie_0008,Old House,Movie,Horror,,1991,109.0,TV-Y,Spanish,South Korea,7.7,629216.0,3995303.0,,,False,2020-10-04,False
movie_0009,Dragon Empire,Movie,Biography,,2013,123.0,PG,Spanish,USA,8.4,,,,,False,2024-05-09,False
movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49.0,TV-Y,Italian,Japan,8.2,,,12.0,32.0,False,2021-09-20,False
movie_0014,Little War,Movie,Mystery,,1990,117.0,TV-14,Korean,Japan,8.4,,32793336.0,,,True,2020-10-01,False
movie_0016,Last Dream,TV Series,Family,,1999,54.0,PG-13,Spanish,USA,6.0,,,,139.0,False,2022-01-19,False
movie_0017,Kingdom Battle,Stand-up Comedy,War,,2018,72.0,NC-17,Italian,UK,5.9,,,,,True,2021-10-13,False
movie_0028,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417.0,PG,French,USA,,,,,,False,2024-01-07,False
movie_0032,House Hero,TV Series,Crime,,2000,31.0,TV-Y7,German,UK,,,,3.0,24.0,False,2024-02-13,False
movie_0033,Mystery City,Movie,Horror,,1995,116.0,TV-MA,Korean,USA,7.3,,,,,False,2022-06-24,False
movie_0036,House Legend,TV Series,Adventure,Action,2018,61.0,PG-13,Spanish,Germany,6.5,,,10.0,57.0,False,2025-04-18,False
movie_0037,Empire King,TV Series,Comedy,,2011,51.0,TV-G,French,USA,,,,5.0,23.0,False,2025-05-02,False
