movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0007,Battle Story,TV Series,Sci-Fi,,2003,52.0,TV-Y7,English,USA,,,,,158.0,False,2021-11-30,False
movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49.0,TV-Y,Italian,Japan,8.2,,,12.0,32.0,False,2021-09-20,False
movie_0016,Last Dream,TV Series,Family,,1999,54.0,PG-13,Spanish,USA,6.0,,,,139.0,False,2022-01-19,False
movie_0019,An Legend,Limited Series,Sci-Fi,Crime,2004,48.0,TV-PG,English,UK,9.3,,,1.0,155.0,False,2022-05-12,False
movie_0020,An Mystery,TV Series,Fantasy,,2009,41.0,PG-13,English,Canada,7.1,,,14.0,168.0,False,2022-08-21,False
movie_0021,Family Love,Limited Series,Family,Thriller,2020,52.0,TV-PG,English,USA,8.5,,,5.0,106.0,False,2023-07-25,False
movie_0023,Mystery Night,TV Series,Adventure,,2020,60.0,TV-MA,English,USA,4.8,,,6.0,197.0,True,2024-10-18,False
movie_0026,Last Love,TV Series,Comedy,,2000,78.0,PG,English,India,8.6,,,10.0,121.0,False,2025-02-23,False
movie_0032,House Hero,TV Series,Crime,,2000,31.0,TV-Y7,German,UK,,,,3.0,24.0,False,2024-02-13,False
movie_0034,Mission Kingdom,TV Series,War,Horror,2018,48.0,TV-PG,English,India,7.7,,,14.0,138.0,True,2023-10-22,True
movie_0035,Princess Love,TV Series,Family,Romance,1994,38.0,TV-PG,English,USA,7.4,,,,62.0,False,2021-03-01,False
movie_0036,House Legend,TV Series,Adventure,Action,2018,61.0,PG-13,Spanish,Germany,6.5,,,10.0,57.0,False,2025-04-18,False
movie_0037,Empire King,TV Series,Comedy,,2011,51.0,TV-G,French,USA,,,,5.0,23.0,False,2025-05-02,False
movie_0046,The Dragon,TV Series,Family,,2002,43.0,PG-13,English,USA,6.7,,,8.0,113.0,False,2023-08-15,False
movie_0047,Day Journey,TV Series,Thriller,,2008,47.0,PG,English,Japan,5.4,,,9.0,54.0,False,2020-12-15,False
movie_0050,Last Quest,TV Series,Biography,,2015,41.0,TV-PG,French,USA,6.1,,,8.0,116.0,False,2023-08-10,False
movie_0051,Hero Mystery,TV Series,Western,Comedy,1995,52.0,TV-PG,English,USA,8.0,,,12.0,178.0,False,2023-09-10,False
movie_0054,Phoenix Journey,TV Series,Romance,History,2021,35.0,TV-MA,English,France,8.8,,,,78.0,False,2024-11-17,False
movie_0059,Night Secret,TV Series,Romance,Sci-Fi,1992,580.0,TV-14,French,USA,6.3,,,4.0,42.0,True,2020-08-24,False
movie_0060,Night Warrior,TV Series,Biography,,1993,44.0,PG-13,English,USA,4.9,,,10.0,46.0,False,2024-08-08,False
movie_0067,Story Mystery,TV Series,Crime,,2005,50.0,PG,English,USA,6.8,,,2.0,73.0,False,2023-05-21,False
movie_0068,Secret Night,TV Series,Horror,,1994,46.0,R,English,USA,7.5,,,5.0,44.0,False,2021-10-22,False
movie_0069,An Quest,TV Series,Documentary,,2020,42.0,NC-17,Spanish,South Korea,8.1,,,9.0,6.0,False,2024-02-13,False
movie_0071,Phoenix Ice,TV Series,Music,Sci-Fi,2016,70.0,TV-MA,English,Canada,6.7,,,3.0,79.0,True,2024-06-17,False
movie_0072,Storm Warrior,Limited Series,Sci-Fi,Drama,2015,73.0,TV-14,French,South Korea,,,,14.0,75.0,False,2021-06-09,False
movie_0073,House Family,TV Series,Action,,2021,42.0,TV-PG,German,Canada,4.8,,,5.0,121.0,True,2023-03-24,False
movie_0075,War Hero,TV Series,Animation,Crime,2016,18.0,TV-PG,English,USA,6.5,,,1.0,177.0,False,2023-04-21,True
movie_0077,Our Battle,TV Series,War,History,2018,26.0,TV-14,English,USA,6.4,,,5.0,95.0,True,2024-12-03,False
